Start time,Request type,Latency,Response code
Thu Oct 22 18:51:31 PDT 2020,Get,4237,200
Thu Oct 22 18:51:31 PDT 2020,Get,4264,200
Thu Oct 22 18:51:31 PDT 2020,Get,4145,200
Thu Oct 22 18:51:31 PDT 2020,Get,4268,200
Thu Oct 22 18:51:31 PDT 2020,Get,4208,200
Thu Oct 22 18:51:31 PDT 2020,Get,4309,200
Thu Oct 22 18:51:31 PDT 2020,Get,4248,200
Thu Oct 22 18:51:31 PDT 2020,Get,4383,200
Thu Oct 22 18:51:31 PDT 2020,Get,4278,200
Thu Oct 22 18:51:31 PDT 2020,Get,4280,200
Thu Oct 22 18:51:31 PDT 2020,Get,4380,200
Thu Oct 22 18:51:31 PDT 2020,Get,4344,200
Thu Oct 22 18:51:31 PDT 2020,Get,4185,200
Thu Oct 22 18:51:31 PDT 2020,Get,4188,200
Thu Oct 22 18:51:31 PDT 2020,Get,4320,200
Thu Oct 22 18:51:31 PDT 2020,Get,4371,200
Thu Oct 22 18:51:31 PDT 2020,Get,4384,200
Thu Oct 22 18:51:31 PDT 2020,Get,4230,200
Thu Oct 22 18:51:31 PDT 2020,Get,4371,200
Thu Oct 22 18:51:31 PDT 2020,Get,4439,200
Thu Oct 22 18:51:31 PDT 2020,Get,4325,200
Thu Oct 22 18:51:31 PDT 2020,Get,4389,200
Thu Oct 22 18:51:31 PDT 2020,Get,4393,200
Thu Oct 22 18:51:31 PDT 2020,Get,4410,200
Thu Oct 22 18:51:31 PDT 2020,Get,4299,200
Thu Oct 22 18:51:31 PDT 2020,Get,4227,200
Thu Oct 22 18:51:31 PDT 2020,Get,4418,200
Thu Oct 22 18:51:31 PDT 2020,Get,4383,200
Thu Oct 22 18:51:31 PDT 2020,Get,4414,200
Thu Oct 22 18:51:31 PDT 2020,Get,4376,200
Thu Oct 22 18:51:31 PDT 2020,Get,4441,200
Thu Oct 22 18:51:31 PDT 2020,Get,4406,200
Thu Oct 22 18:51:31 PDT 2020,Get,4430,200
Thu Oct 22 18:51:31 PDT 2020,Get,4426,200
Thu Oct 22 18:51:31 PDT 2020,Get,4358,200
Thu Oct 22 18:51:31 PDT 2020,Get,4316,200
Thu Oct 22 18:51:31 PDT 2020,Get,4484,200
Thu Oct 22 18:51:31 PDT 2020,Get,4533,200
Thu Oct 22 18:51:31 PDT 2020,Get,4439,200
Thu Oct 22 18:51:31 PDT 2020,Get,4416,200
Thu Oct 22 18:51:31 PDT 2020,Get,4407,200
Thu Oct 22 18:51:31 PDT 2020,Get,4393,200
Thu Oct 22 18:51:35 PDT 2020,Get,4234,200
Thu Oct 22 18:51:35 PDT 2020,Get,4351,200
Thu Oct 22 18:51:35 PDT 2020,Get,4313,200
Thu Oct 22 18:51:35 PDT 2020,Get,4329,200
Thu Oct 22 18:51:35 PDT 2020,Get,4306,200
Thu Oct 22 18:51:35 PDT 2020,Get,4488,200
Thu Oct 22 18:51:35 PDT 2020,Get,4588,200
Thu Oct 22 18:51:35 PDT 2020,Get,4426,200
Thu Oct 22 18:51:35 PDT 2020,Get,4498,200
Thu Oct 22 18:51:35 PDT 2020,Get,4525,200
Thu Oct 22 18:51:35 PDT 2020,Get,4576,200
Thu Oct 22 18:51:35 PDT 2020,Get,4583,200
Thu Oct 22 18:51:35 PDT 2020,Get,4648,200
Thu Oct 22 18:51:35 PDT 2020,Get,4583,200
Thu Oct 22 18:51:36 PDT 2020,Get,4551,200
Thu Oct 22 18:51:35 PDT 2020,Get,4629,200
Thu Oct 22 18:51:36 PDT 2020,Get,4546,200
Thu Oct 22 18:51:35 PDT 2020,Get,4614,200
Thu Oct 22 18:51:36 PDT 2020,Get,4590,200
Thu Oct 22 18:51:36 PDT 2020,Get,4624,200
Thu Oct 22 18:51:36 PDT 2020,Get,4536,200
Thu Oct 22 18:51:36 PDT 2020,Get,4644,200
Thu Oct 22 18:51:36 PDT 2020,Get,4546,200
Thu Oct 22 18:51:36 PDT 2020,Get,4613,200
Thu Oct 22 18:51:36 PDT 2020,Get,4683,200
Thu Oct 22 18:51:36 PDT 2020,Get,4655,200
Thu Oct 22 18:51:36 PDT 2020,Get,4700,200
Thu Oct 22 18:51:36 PDT 2020,Get,4568,200
Thu Oct 22 18:51:36 PDT 2020,Get,4606,200
Thu Oct 22 18:51:36 PDT 2020,Get,4576,200
Thu Oct 22 18:51:36 PDT 2020,Get,4603,200
Thu Oct 22 18:51:36 PDT 2020,Get,4687,200
Thu Oct 22 18:51:36 PDT 2020,Get,4497,200
Thu Oct 22 18:51:36 PDT 2020,Get,4579,200
Thu Oct 22 18:51:36 PDT 2020,Get,4598,200
Thu Oct 22 18:51:36 PDT 2020,Get,4458,200
Thu Oct 22 18:51:36 PDT 2020,Get,4601,200
Thu Oct 22 18:51:36 PDT 2020,Get,4487,200
Thu Oct 22 18:51:36 PDT 2020,Get,4493,200
Thu Oct 22 18:51:36 PDT 2020,Get,4470,200
Thu Oct 22 18:51:36 PDT 2020,Get,4470,200
Thu Oct 22 18:51:36 PDT 2020,Get,4604,200
Thu Oct 22 18:51:39 PDT 2020,Get,1664,200
Thu Oct 22 18:51:39 PDT 2020,Get,1698,200
Thu Oct 22 18:51:39 PDT 2020,Get,1699,200
Thu Oct 22 18:51:41 PDT 2020,Get,1060,200
Thu Oct 22 18:51:41 PDT 2020,Get,1308,200
Thu Oct 22 18:51:41 PDT 2020,Get,1322,200
Thu Oct 22 18:51:42 PDT 2020,Get,1159,200
Thu Oct 22 18:51:42 PDT 2020,Get,1443,200
Thu Oct 22 18:51:42 PDT 2020,Get,1145,200
Thu Oct 22 18:51:44 PDT 2020,Get,1106,200
Thu Oct 22 18:51:44 PDT 2020,Get,1125,200
Thu Oct 22 18:51:44 PDT 2020,Get,1352,200
Thu Oct 22 18:51:45 PDT 2020,Get,1081,200
Thu Oct 22 18:51:45 PDT 2020,Get,1202,200
Thu Oct 22 18:51:45 PDT 2020,Get,1227,200
Thu Oct 22 18:51:46 PDT 2020,Get,1157,200
Thu Oct 22 18:51:46 PDT 2020,Get,1332,200
Thu Oct 22 18:51:46 PDT 2020,Get,1280,200
Thu Oct 22 18:51:47 PDT 2020,Get,1479,200
Thu Oct 22 18:51:47 PDT 2020,Get,1279,200
Thu Oct 22 18:51:47 PDT 2020,Get,1794,200
Thu Oct 22 18:51:49 PDT 2020,Get,1122,200
Thu Oct 22 18:51:49 PDT 2020,Get,1302,200
Thu Oct 22 18:51:49 PDT 2020,Get,1310,200
Thu Oct 22 18:51:50 PDT 2020,Get,1068,200
Thu Oct 22 18:51:50 PDT 2020,Get,1201,200
Thu Oct 22 18:51:50 PDT 2020,Get,1204,200
Thu Oct 22 18:51:51 PDT 2020,Get,1089,200
Thu Oct 22 18:51:51 PDT 2020,Get,1176,200
Thu Oct 22 18:51:51 PDT 2020,Get,1198,200
